Course Code,Course Number,Titles,Day,Time,Location
AAA,101,Introduction to Asian/Asian-American Studies,Monday,1:00-3:00,Hinds Hall
AAA,200,Selected Topics,Tuesday,2:00-4:00,Carnegie
AAA,300,Selected Topics,Wednesday,3:00-5:00,Hall of Languages
AAA,307,Asian Americans and Social Stratification,Thursday,4:00-6:00,Physics Building
AAA,380,International Course,Friday,5:00-7:00,Falk
AAS,112,Introduction to African American Studies,Monday,6:00-8:00,Marshall Square Mall
AAS,138,Writing About Black Culture,Tuesday,7:00-9:00,Lyman Hall
AAS,200,Selected Topics,Wednesday,7:00-9:01,Whitman
AAS,202,Caribbean Society Since Independence,Thursday,7:00-9:02,Schine
AAS,206,Introduction to African American Music,Friday,1:00-3:01,Heroy Geology Building
AAS,207,A Survey of African Music,Monday,2:00-4:01,HBC Gifford
AAS,213,Africa: Ancient Times to 1800,Tuesday,3:00-5:01,Crouse-Hinds Hall
AAS,214,Modern Africa: 1800 - Present,Wednesday,4:00-6:01,Dineen Hall
AAS,231,African American Literature to 1900: An Introduction,Thursday,5:00-7:01,Hinds Hall
AAS,232,African American Literature: Twentieth and Twenty-First Centuries,Friday,6:00-8:01,Carnegie
AAS,233,The Caribbean Novel,Monday,7:00-9:03,Hall of Languages
AAS,234,African Fiction,Tuesday,7:00-9:04,Physics Building
AAS,235,African American Drama,Wednesday,7:00-9:05,Falk
AAS,241,African Religions: An Introduction,Thursday,1:00-3:02,Marshall Square Mall
AAS,254,Comparative Study of American Ethnic Communities,Friday,2:00-4:02,Lyman Hall
AAS,290,Independent Study,Monday,3:00-5:02,Whitman
AAS,300,Selected Topics,Tuesday,4:00-6:02,Schine
AAS,302,Contemporary African American Theater,Wednesday,5:00-7:02,Heroy Geology Building
AAS,303,Black Women Writers,Thursday,6:00-8:02,HBC Gifford
AAS,304,Workshop:African American Theater,Friday,7:00-9:06,Crouse-Hinds Hall
AAS,305,African Orature,Monday,7:00-9:07,Dineen Hall
AAS,306,African American Politics,Tuesday,7:00-9:08,Hinds Hall
AAS,307,African Women Writers,Wednesday,1:00-3:03,Carnegie
AAS,309,"Race, Gender and Sexuality in the African Diaspora",Thursday,2:00-4:03,Hall of Languages
AAS,310,Elements of Theater Production,Friday,3:00-5:03,Physics Building
AAS,312,Pan Africanism,Monday,4:00-6:03,Falk
AAS,327,History of Southern Africa,Tuesday,5:00-7:03,Marshall Square Mall
AAS,331,The African American Novel: Twentieth and Twenty-First Centuries,Wednesday,6:00-8:03,Lyman Hall
AAS,332,African American History: Through the 19th Century,Thursday,7:00-9:09,Whitman
AAS,333,African American History: After the 19th Century,Friday,7:00-9:10,Schine
AAS,338,Creative Writing Workshop,Monday,7:00-9:11,Heroy Geology Building
AAS,341,Politics of Africa,Tuesday,1:00-3:04,HBC Gifford
AAS,345,African American Religious History,Wednesday,2:00-4:04,Crouse-Hinds Hall
AAS,346,Comparative Third World Politics,Thursday,3:00-5:04,Dineen Hall
AAS,353,Sociology of the African American Experience,Friday,4:00-6:04,Hinds Hall
AAS,361,Art of the Black World,Monday,5:00-7:04,Carnegie
AAS,364,African International Relations,Tuesday,6:00-8:04,Hall of Languages
AAS,365,International Political Economy of the Third World,Wednesday,7:00-9:12,Physics Building
AAS,367,Protest Movements and African American Art and Literature,Thursday,7:00-9:13,Falk
AAS,380,International Course,Friday,7:00-9:14,Marshall Square Mall
AAS,390,Independent Study,Monday,1:00-3:05,Lyman Hall
AAS,400,Selected Topics,Tuesday,2:00-4:05,Whitman
AAS,402,Slavery and Abolition,Wednesday,3:00-5:05,Schine
AAS,403,African and Caribbean Women Writers,Thursday,4:00-6:05,Heroy Geology Building
AAS,408,Masters of American Black Music,Friday,5:00-7:05,HBC Gifford
AAS,409,"History of Jazz, 1940 to Present",Monday,6:00-8:05,Crouse-Hinds Hall
AAS,410,Seminar on Social Change,Tuesday,7:00-9:15,Dineen Hall
AAS,412,"Hurricane Katrina: Race, Class, Gender & Disaster",Wednesday,7:00-9:16,Hinds Hall
AAS,413,There Goes the Neighborhood: US Residential Segregation,Thursday,7:00-9:17,Carnegie
AAS,416,"Race, Crime and Punishment",Friday,1:00-3:06,Hall of Languages
AAS,417,Human Rights in the Americas,Monday,2:00-4:06,Physics Building
AAS,425,”Revolt of the Black Athlete”: Africana Studies and the History and Culture of Sport,Tuesday,3:00-5:06,Falk
AAS,426,African American Urban History,Wednesday,4:00-6:06,Marshall Square Mall
AAS,427,New York City: Black Women Domestic Workers,Thursday,5:00-7:06,Lyman Hall
AAS,433,Harlem Renaissance:Literature and Ideology,Friday,6:00-8:06,Whitman
AAS,434,Underground Railroad,Monday,7:00-9:18,Schine
AAS,445,"The Caribbean: Sex Workers, Transnational Capital, and Tourism",Tuesday,7:00-9:19,Heroy Geology Building
AAS,465,The Image of Blacks in Art and Film,Wednesday,7:00-9:20,HBC Gifford
AAS,470,Experience Credit,Thursday,1:00-3:07,Crouse-Hinds Hall
AAS,480,International Course,Friday,2:00-4:07,Dineen Hall
AAS,490,Independent Study,Monday,3:00-5:07,Hinds Hall
AAS,499,Honors Capstone Project,Tuesday,4:00-6:07,Carnegie
AAS,500,Selected Topics,Wednesday,5:00-7:07,Hall of Languages
AAS,501,African American Sociological Practice:1900-45,Thursday,6:00-8:07,Physics Building
AAS,503,"Black Paris: Studies in Literature, Culture and Intellectual Life",Friday,7:00-9:21,Falk
AAS,510,Studies in African American History,Monday,7:00-9:22,Marshall Square Mall
AAS,512,African American Women’s History,Tuesday,7:00-9:23,Lyman Hall
AAS,513,Toni Morrison: Black Book Seminar,Wednesday,1:00-3:08,Whitman
AAS,525,Research Methods in African American Studies,Thursday,2:00-4:08,Schine
AAS,540,Seminar:African American Studies,Friday,3:00-5:08,Heroy Geology Building
AAS,580,International Course,Monday,4:00-6:08,HBC Gifford
AAS,590,Independent Study,Tuesday,5:00-7:08,Crouse-Hinds Hall
ACC,151,Introduction to Financial Accounting,Wednesday,6:00-8:08,Dineen Hall
ACC,201,Essentials of Accounting,Thursday,7:00-9:24,Hinds Hall
ACC,252,Intro to Managerial Acc,Friday,7:00-9:25,Carnegie
ACC,356,Intermediate Financial Accounting I,Monday,7:00-9:26,Hall of Languages
ACC,357,Intermediate Financial Accounting II,Tuesday,1:00-3:09,Physics Building
